ID,age,edu,gender,Condition,ide,WC,Affect,emotion
201,32,Graduate degree,0,Low,78,47,12.77,8.51
202,50,Some college,1,Low,46,36,16.67,16.67
203,23,High school diploma,0,Low,5,19,0,0
204,66,High school diploma,1,Low,30,74,1.35,0
205,35,Some college,0,Low,91,9,33.33,0
206,35,Graduate degree,0,Low,90,35,0,0
207,36,Graduate degree,1,Low,96,61,0,0
208,36,College degree,0,Low,61,25,28,4
209,70,Some college,1,Low,73,72,1.39,1.39
210,22,Some college,0,Low,92,40,20,0
211,22,Graduate degree,1,Low,100,24,37.5,12.5
212,59,Some college,0,Low,55,53,3.77,0
213,71,College degree,1,Low,6,27,0,0
214,73,College degree,1,Low,89,78,3.85,1.28
215,35,Graduate degree,0,Low,85,44,0,0
216,72,Some college,1,Low,60,30,0,0
217,28,Graduate degree,1,Low,44,50,10,6
218,68,Some high school,1,Low,24,54,3.7,0
219,72,Some college,1,Low,52,175,3.43,0
220,70,College degree,1,Low,50,149,6.04,4.03
221,61,College degree,1,Low,52,44,4.55,0
222,35,Graduate degree,0,Low,100,13,7.69,0
223,66,College degree,1,Low,4,155,0,0
224,40,High school diploma,0,Low,51,42,2.38,0
225,60,Graduate degree,1,Low,50,10,10,10
226,69,Some college,1,Low,24,14,0,0
227,28,Graduate degree,1,Low,79,30,20,13.33
228,30,Graduate degree,0,Low,96,15,0,0
229,73,College degree,0,Low,18,28,3.57,3.57
230,70,Graduate degree,0,Low,30,70,1.43,0
231,29,College degree,0,Low,50,15,6.67,0
232,53,Some college,1,Low,57,57,0,0
233,73,High school diploma,0,Low,50,14,0,0
234,29,College degree,0,Low,51,27,3.7,0
235,42,Graduate degree,0,Low,82,51,35.29,21.57
236,73,Some college,0,Low,50,149,2.68,0
237,56,High school diploma,1,Low,18,71,2.82,1.41
238,21,Some college,1,Low,100,21,0,0
239,73,High school diploma,0,Low,30,37,0,0
240,60,Graduate degree,0,Low,93,18,16.67,16.67
241,68,Some college,0,Low,71,51,5.88,0
242,42,College degree,1,Low,62,36,0,0
243,70,Some college,1,Low,0,61,6.56,1.64
244,61,Some college,0,Low,29,26,15.38,3.85
245,73,College degree,1,Low,0,26,3.85,0
246,68,High school diploma,1,Low,94,99,7.07,1.01
247,52,Some college,1,Low,100,36,5.56,0
248,69,College degree,1,Low,100,27,14.81,3.7
249,44,Some college,1,Low,10,8,50,37.5
250,72,College degree,1,Low,44,70,1.43,0
251,67,Some college,1,Low,53,107,2.8,0
252,71,College degree,0,Low,80,18,22.22,16.67
253,67,College degree,1,Low,50,64,0,0
254,72,College degree,0,Low,31,66,3.03,1.52
255,59,High school diploma,1,Low,23,20,10,0
256,62,High school diploma,0,Low,69,68,0,0
257,22,Some college,1,Low,89,72,0,0
258,55,College degree,0,Low,40,25,0,0
259,66,College degree,1,Low,60,28,3.57,0
260,25,Some college,1,Low,68,210,2.38,0.48
261,69,College degree,0,Low,100,45,0,0
262,68,Graduate degree,0,Low,67,45,6.67,4.44
263,72,Some college,0,Low,51,18,0,0
264,52,Graduate degree,0,Low,8,16,0,0
265,42,Some college,1,Low,88,49,0,0
266,34,Some college,1,Low,52,16,0,0
267,32,Some college,1,Low,65,9,0,0
268,69,College degree,0,Low,6,47,6.38,2.13
269,50,Some college,1,Low,51,42,7.14,2.38
270,22,Some college,1,Low,80,16,0,0
271,40,Some college,0,Low,100,31,19.35,0
272,38,High school diploma,1,Low,50,26,0,0
273,26,College degree,0,Low,9,61,9.84,0
274,35,Some college,0,Low,100,12,33.33,8.33
275,32,High school diploma,1,Low,51,17,0,0
276,73,Some college,1,Low,82,17,17.65,11.76
277,58,College degree,0,Low,53,9,11.11,0
278,32,College degree,1,Low,0,55,0,0
279,74,College degree,1,Low,82,66,1.52,0
280,45,Some college,1,Low,37,34,5.88,2.94
281,68,Some college,1,Low,60,54,1.85,1.85
282,66,College degree,0,Low,0,48,6.25,2.08
283,70,Some college,1,Low,13,166,0.6,0.6
284,47,Graduate degree,1,Low,87,158,8.23,2.53
285,65,College degree,1,Low,48,31,3.23,0
286,43,Some college,1,Low,50,18,0,0
287,51,College degree,1,Low,34,27,29.63,18.52
288,43,Some college,1,Low,50,59,6.78,1.69
289,52,Graduate degree,0,Low,62,25,8,0
290,59,High school diploma,0,Low,0,23,0,0
291,59,College degree,1,Low,15,179,1.12,0.56
292,57,Some college,1,Low,86,16,0,0
293,61,High school diploma,0,Low,64,34,5.88,0
294,65,Some college,1,Low,100,52,15.38,11.54
295,72,College degree,1,Low,42,60,5,1.67
296,40,College degree,1,Low,72,37,2.7,2.7
297,35,Graduate degree,0,Low,100,28,0,0
298,19,High school diploma,1,Low,100,143,3.5,0.7
299,55,College degree,1,Low,27,48,0,0
300,21,Some high school,1,Low,52,103,0.97,0.97
301,30,Some college,1,Low,41,32,12.5,6.25
302,31,High school diploma,0,Low,46,29,3.45,3.45
303,72,College degree,0,Low,0,111,6.31,0.9
304,64,College degree,0,Low,40,62,3.23,0
305,65,Some college,0,Low,7,14,0,0
307,67,Graduate degree,0,Low,50,86,9.3,9.3
308,51,High school diploma,0,Low,50,16,0,0
309,54,College degree,0,Low,50,89,2.25,2.25
310,68,College degree,0,Low,0,81,0,0
311,35,Graduate degree,0,Low,91,15,0,0
312,36,College degree,0,Low,23,95,4.21,0
313,32,High school diploma,0,Low,60,24,33.33,33.33
314,51,Graduate degree,0,Low,47,24,0,0
315,25,Some college,0,Low,51,15,0,0
316,72,College degree,0,Low,61,105,1.9,0.95
317,29,High school diploma,0,Low,50,23,4.35,0
318,47,College degree,1,Low,65,29,6.9,0
319,44,High school diploma,1,Low,1,36,0,0
320,69,Some college,0,Low,51,33,6.06,6.06
321,72,College degree,1,Low,85,38,0,0
322,62,High school diploma,1,Low,40,39,0,0
323,68,College degree,0,Low,7,31,9.68,0
324,41,High school diploma,1,Low,10,120,1.67,0.83
325,74,College degree,0,Low,82,74,1.35,1.35
326,66,Some college,1,Low,76,75,2.67,1.33
327,64,Some college,0,Low,10,56,3.57,3.57
328,73,Some college,1,Low,13,24,0,0
329,56,College degree,1,Low,86,104,2.88,0.96
330,73,Some college,0,Low,81,18,27.78,11.11
331,65,Some college,1,Low,81,127,1.57,0
332,70,Some college,1,Low,50,112,6.25,0
333,56,College degree,1,Low,80,148,0,0
334,66,High school diploma,1,Low,40,76,0,0
335,64,Some college,1,Low,13,41,0,0
336,74,High school diploma,1,Low,100,18,5.56,0
337,66,College degree,1,Low,0,32,0,0
338,69,Some college,1,Low,0,93,0,0
339,75,High school diploma,0,Low,14,32,3.13,0
340,66,Some college,1,Low,28,26,7.69,3.85
341,74,Some college,0,Low,51,126,1.59,0
342,52,Graduate degree,0,Low,73,66,3.03,0
343,73,Some college,1,Low,50,133,0.75,0.75
344,66,Some college,1,Low,54,48,2.08,0
345,32,College degree,1,Low,78,18,50,11.11
346,71,Some college,1,Low,1,24,0,0
347,61,High school diploma,1,Low,50,44,0,0
348,74,High school diploma,1,Low,100,70,1.43,0
349,74,Some college,1,Low,52,51,19.61,3.92
350,60,Some college,1,Low,50,22,0,0
351,67,Graduate degree,1,Low,14,103,0.97,0
352,75,Some college,1,Low,0,85,4.71,3.53
353,69,College degree,0,Low,0,36,2.78,2.78
354,68,College degree,1,Low,100,60,1.67,0
355,61,College degree,1,Low,79,64,0,0
356,75,Some college,1,Low,86,171,2.34,1.17
357,61,High school diploma,0,Low,31,83,2.41,1.2
358,71,College degree,1,Low,68,81,2.47,0
359,64,College degree,1,Low,74,46,0,0
360,73,Some college,1,Low,82,164,1.83,0
361,72,Some college,1,Low,74,63,0,0
362,67,Some college,1,Low,50,49,0,0
363,53,High school diploma,1,Low,20,93,0,0
364,47,Some college,1,Low,90,24,33.33,0
365,39,College degree,0,Low,50,11,0,0
366,25,Some high school,1,Low,0,51,5.88,3.92
367,28,Some college,1,Low,51,116,2.59,0.86
368,70,College degree,0,Low,0,64,4.69,1.56
369,75,College degree,1,Low,53,89,11.24,4.49
370,73,Some college,0,Low,48,78,1.28,0
371,48,High school diploma,1,Low,9,73,0,0
372,70,Some college,0,Low,0,67,2.99,2.99
373,72,College degree,1,Low,21,58,3.45,1.72
374,60,College degree,1,Low,78,52,3.85,1.92
375,60,Some college,1,Low,50,58,3.45,1.72
376,73,High school diploma,1,Low,100,126,1.59,1.59
377,66,College degree,1,Low,83,82,0,0
378,29,High school diploma,1,Low,100,53,3.77,3.77
379,66,College degree,1,Low,59,77,1.3,0
380,53,High school diploma,1,Low,31,34,8.82,2.94
381,70,Some college,1,Low,0,74,2.7,2.7
382,58,High school diploma,1,Low,10,38,0,0
383,56,Some college,1,Low,94,57,1.75,0
384,67,Graduate degree,1,Low,0,240,3.33,1.25
385,69,Some college,1,Low,72,155,5.16,2.58
386,56,Some college,1,Low,19,59,0,0
387,53,Some college,0,Low,90,18,0,0
388,71,College degree,0,Low,100,71,1.41,0
389,68,College degree,1,Low,21,386,3.37,0.78
390,31,High school diploma,other,Low,100,89,4.49,2.25
391,72,Some college,1,Low,50,19,5.26,5.26
392,25,College degree,1,Low,100,52,1.92,0
393,34,College degree,1,Low,51,47,0,0
394,25,High school diploma,1,Low,60,13,15.38,0
395,66,Graduate degree,0,Low,100,61,6.56,0
396,55,High school diploma,0,Low,30,18,0,0
397,36,Some college,1,Low,94,52,1.92,1.92
398,49,College degree,1,Low,57,106,2.83,0
399,69,High school diploma,1,Low,84,40,0,0
400,64,High school diploma,1,Low,87,39,5.13,5.13
401,36,Some college,1,Low,59,30,6.67,3.33
402,65,College degree,1,Low,57,17,0,0
403,67,College degree,1,Low,34,64,9.38,6.25
404,60,High school diploma,0,Low,50,12,16.67,8.33
405,70,College degree,1,Low,61,71,4.23,0
406,50,High school diploma,1,Low,49,47,0,0
407,37,High school diploma,0,Low,82,36,2.78,0
408,64,Graduate degree,1,Low,57,75,4,0
409,71,College degree,1,Low,51,172,5.81,0.58
410,70,High school diploma,1,Low,0,72,5.56,2.78
411,48,Some college,1,Low,45,70,2.86,0
412,61,College degree,0,Low,50,19,15.79,5.26
413,34,High school diploma,1,Low,50,30,3.33,0
414,49,Some college,1,Low,50,73,4.11,4.11
415,35,High school diploma,1,Low,47,35,0,0
416,47,Some high school,1,Low,52,29,0,0
417,40,College degree,0,Low,55,32,0,0
418,72,High school diploma,1,Low,59,52,1.92,1.92
419,35,College degree,1,Low,50,115,0.87,0.87
420,49,Some college,1,Low,1,31,6.45,3.23
421,66,Some college,1,Low,77,61,3.28,1.64
422,35,Graduate degree,0,Low,40,27,0,0
423,25,Some college,0,Low,88,16,0,0
424,23,High school diploma,1,Low,71,19,0,0
425,47,College degree,1,Low,100,16,0,0
426,56,Some college,1,Low,50,88,1.14,0
427,60,Some college,0,Low,100,105,0.95,0
428,40,High school diploma,1,Low,50,23,4.35,0
429,59,High school diploma,1,Low,55,193,0,0
430,65,High school diploma,0,Low,91,58,0,0
431,69,College degree,1,Low,0,120,3.33,1.67
432,59,College degree,1,Low,92,78,5.13,1.28
433,63,College degree,1,Low,94,50,0,0
434,69,High school diploma,1,Low,0,21,0,0
435,74,College degree,1,Low,81,52,21.15,9.62
436,71,High school diploma,1,Low,1,93,0,0
437,57,High school diploma,1,Low,50,128,5.47,2.34
438,60,Some college,1,Low,48,182,4.95,1.65
439,43,High school diploma,1,Low,77,61,3.28,1.64
440,65,Graduate degree,1,Low,50,29,0,0
441,69,Some college,0,Low,64,38,2.63,2.63
442,55,College degree,1,Low,50,68,0,0
443,68,College degree,1,Low,92,93,3.23,0
444,64,High school diploma,1,Low,50,49,0,0
445,69,Some college,1,Low,0,58,8.62,1.72
446,65,Some college,1,Low,21,101,1.98,0
447,41,Graduate degree,0,Low,95,23,0,0
448,66,College degree,1,Low,28,35,14.29,14.29
449,65,Some college,1,Low,0,62,3.23,1.61
450,72,Some college,1,Low,9,131,1.53,0
451,74,Some college,1,Low,50,179,1.12,0
452,60,High school diploma,0,Low,100,60,5,1.67
453,44,Some college,1,Low,95,54,9.26,0
454,65,College degree,1,Low,31,45,2.22,0
455,62,Graduate degree,1,Low,28,14,14.29,0
457,24,Some college,1,Low,50,42,0,0
458,57,Graduate degree,0,Low,100,30,23.33,20
459,63,Graduate degree,1,Low,50,78,5.13,1.28
460,70,College degree,1,Low,53,35,0,0
461,64,Some college,1,Low,0,95,5.26,4.21
462,37,High school diploma,1,Low,100,17,0,0
463,65,High school diploma,1,Low,50,71,1.41,1.41
464,65,High school diploma,1,Low,100,103,2.91,0
465,58,College degree,1,Low,3,50,2,0
466,70,High school diploma,1,Low,0,41,2.44,2.44
467,67,Some college,1,Low,9,43,11.63,0
468,59,College degree,1,Low,35,21,9.52,0
469,54,Some college,1,Low,0,125,2.4,0.8
470,70,Graduate degree,1,Low,100,183,3.28,0
471,52,Some college,1,Low,0,56,12.5,5.36
472,66,Some college,0,Low,0,23,0,0
473,72,Graduate degree,1,Low,8,71,2.82,2.82
474,71,College degree,0,Low,9,97,4.12,1.03
475,60,High school diploma,0,Low,5,170,3.53,0.59
476,75,College degree,0,Low,1,56,1.79,0
477,70,Some college,0,Low,0,90,6.67,3.33
478,73,Graduate degree,0,Low,83,103,0,0
479,71,Graduate degree,0,Low,2,18,0,0
480,59,College degree,0,Low,58,66,0,0
481,67,Some college,1,Low,95,49,0,0
482,68,Graduate degree,0,Low,86,70,2.86,1.43
483,75,Some college,0,Low,77,36,2.78,2.78
484,46,Some college,1,Low,0,43,4.65,2.33
485,69,Some college,1,Low,9,45,13.33,2.22
486,67,Graduate degree,1,Low,75,95,1.05,0
487,30,College degree,0,Low,56,39,2.56,0
488,75,Some college,1,Low,32,99,9.09,4.04
489,65,Some college,1,Low,65,60,5,1.67
491,62,Some college,0,Low,50,25,0,0
492,43,College degree,0,Low,100,45,2.22,2.22
493,58,Some college,1,Low,18,56,0,0
494,41,High school diploma,0,Low,8,32,0,0
495,64,High school diploma,1,Low,52,31,3.23,0
496,69,Some college,1,Low,9,29,10.34,3.45
497,73,High school diploma,1,Low,86,8,12.5,12.5
498,18,Some college,1,Low,100,61,1.64,0
499,32,High school diploma,1,Low,50,66,9.09,1.52
500,18,High school diploma,1,Low,83,59,3.39,1.69
501,31,College degree,1,Low,68,56,3.57,0
502,63,College degree,1,Low,54,47,8.51,2.13
503,49,College degree,1,Low,25,47,8.51,2.13
504,30,High school diploma,1,Low,50,54,0,0
505,67,College degree,1,Low,55,38,0,0
506,74,College degree,1,Low,86,77,2.6,0
507,40,College degree,1,Low,100,53,1.89,1.89
508,66,High school diploma,0,Low,84,55,5.45,0
509,75,Graduate degree,0,Low,67,109,7.34,0
510,71,College degree,0,Low,0,119,5.04,0
511,40,College degree,0,Low,100,168,3.57,0.6
512,29,Some college,0,Low,100,63,0,0
513,72,Some college,0,Low,0,23,4.35,0
514,47,College degree,0,Low,45,106,2.83,0.94
515,68,Some college,0,Low,17,78,2.56,0
516,71,Some college,0,Low,6,67,5.97,2.99
517,64,College degree,0,Low,0,59,0,0
518,24,High school diploma,0,Low,50,8,0,0
519,69,High school diploma,0,Low,26,34,8.82,5.88
520,55,College degree,0,Low,36,18,27.78,11.11
521,44,College degree,0,Low,50,38,2.63,0
522,63,Some college,0,Low,18,120,4.17,2.5
523,55,Some college,0,Low,32,55,0,0
524,35,Some high school,0,Low,50,52,1.92,0
525,63,High school diploma,0,Low,0,16,0,0
526,75,Some college,0,Low,60,40,0,0
527,39,Some college,0,Low,28,60,0,0
528,72,College degree,0,Low,84,16,12.5,6.25
529,53,College degree,0,Low,63,28,3.57,0
530,28,College degree,0,Low,20,48,0,0
531,43,High school diploma,0,Low,100,65,0,0
532,27,College degree,0,Low,64,10,30,10
533,75,Graduate degree,0,Low,17,26,0,0
534,73,College degree,0,Low,19,162,2.47,0.62
535,67,High school diploma,0,Low,46,9,0,0
536,60,High school diploma,1,Low,100,72,2.78,1.39
537,28,Some college,0,Low,85,110,2.73,0.91
538,56,Some college,0,Low,50,59,1.69,1.69
539,56,High school diploma,0,Low,85,25,0,0
540,32,College degree,0,Low,53,16,6.25,0
541,67,College degree,1,Low,86,67,10.45,5.97
542,35,Graduate degree,0,Low,0,38,18.42,10.53
543,40,Graduate degree,0,Low,100,16,50,6.25
544,26,College degree,0,High,94,53,16.98,5.66
545,73,Some college,1,High,87,68,10.29,2.94
546,31,Some college,0,High,78,10,30,10
547,36,College degree,0,High,54,20,35,10
548,72,College degree,0,High,76,51,7.84,1.96
549,29,High school diploma,1,High,86,8,50,12.5
550,61,High school diploma,1,High,67,50,0,0
551,67,High school diploma,0,High,16,37,13.51,2.7
552,75,High school diploma,0,High,14,81,2.47,0
553,71,High school diploma,1,High,55,40,2.5,2.5
554,32,Graduate degree,0,High,90,12,0,0
555,51,College degree,1,High,100,50,6,2
556,30,College degree,1,High,89,8,87.5,0
